worker,language,age,gender,education,block,qType,cond,scenario,who,whoCorrect,what,whatCorrect,where,whereCorrect,month,monthCorrect,day,dayCorrect,time,timeCorrect,ampm,ampmCorrect,responseTime,comments,SUS,polarity,response,mental,physical,temp,success,perf,stress,preference
802dc8c455cb6ee99f74248fd9db24bb--1515432022,Yes,18-29,Male,Ed3,1,training,ext,train,Cube*,,airport*,,Bonoboland*,,September,,15,,10:00,,AM*,,16281,,,,,,,,,,,
802dc8c455cb6ee99f74248fd9db24bb--1515432022,Yes,18-29,Male,Ed3,1,test,ext,Scenario8,Charger*,True,military-base,False,Bassland,False,December*,True,18,False,10:00*,True,AM*,True,39200,,,,,,,,,,,
802dc8c455cb6ee99f74248fd9db24bb--1515432022,Yes,18-29,Male,Ed3,1,comments,ext,comments,,,,,,,,,,,,,,,2172,,,,,,,,,,,
802dc8c455cb6ee99f74248fd9db24bb--1515432022,Yes,18-29,Male,Ed3,2,training,orig,train,Cube*,,outdoor-mall,,Gibbonland,,January*,,11,,11:00,,PM,,54802,,,,,,,,,,,
802dc8c455cb6ee99f74248fd9db24bb--1515432022,Yes,18-29,Male,Ed3,2,test,orig,Scenario4,Turquoise,False,military-base,False,Omicronland*,True,September,False,15,False,9:00*,True,AM*,True,49050,,,,,,,,,,,
802dc8c455cb6ee99f74248fd9db24bb--1515432022,Yes,18-29,Male,Ed3,2,comments,orig,comments,,,,,,,,,,,,,,,1654,,,,,,,,,,,
802dc8c455cb6ee99f74248fd9db24bb--1515432022,Yes,18-29,Male,Ed3,NA,questionnaire,a,NA,,,,,,,,,,,,,,,29316,,,,,19,17,18,18,15,10,12
46f4d8ea007f48cb0e37c5e93ecd8c76--1515432172,Yes,18-29,Female,Ed3,1,training,orig,train,Sphere,,outdoor-mall,,Gibbonland,,December,,15,,11:00,,PM,,38444,,,,,,,,,,,
46f4d8ea007f48cb0e37c5e93ecd8c76--1515432172,Yes,18-29,Female,Ed3,1,test,orig,Scenario7,Rectangle,False,cruise-terminal*,True,Hornetland,False,September*,True,1*,True,10:00*,True,PM*,True,210354,,,,,,,,,,,
46f4d8ea007f48cb0e37c5e93ecd8c76--1515432172,Yes,18-29,Female,Ed3,1,comments,orig,comments,,,,,,,,,,,,,,,1531,,,,,,,,,,,
46f4d8ea007f48cb0e37c5e93ecd8c76--1515432172,Yes,18-29,Female,Ed3,2,training,ext,train,Sphere,,outdoor-mall,,Gibbonland,,December,,15,,11:00,,PM,,33076,,,,,,,,,,,
46f4d8ea007f48cb0e37c5e93ecd8c76--1515432172,Yes,18-29,Female,Ed3,2,test,ext,Scenario8,Steeler,False,indoor-mall*,True,Sharkland,False,January,False,15*,True,10:00*,True,AM*,True,86773,,,,,,,,,,,
46f4d8ea007f48cb0e37c5e93ecd8c76--1515432172,Yes,18-29,Female,Ed3,2,comments,ext,comments,,,,,,,,,,,,,,,1155,,,,,,,,,,,
