worker,language,age,gender,education,occupation,colors,order,qType,cond,scenario,who,whoCorrect,what,whatCorrect,where,whereCorrect,month,monthCorrect,day,dayCorrect,time,timeCorrect,ampm,ampmCorrect,responseTime,comments,mental,physical,temp,success,perf,stress,preference,trust1,trust2,trust3,trust4,trust5,trust6,trust7,trust8,trust9,trust10,trust11,trust12
2af3fb3532da335ec30c6e216c21f489--1545317765,No,50-64,Female,Ed3,O5,2,NA,inst,,,,,,,,,,,,,,,,,11295,,,,,,,,,,,,,,,,,,,,
2af3fb3532da335ec30c6e216c21f489--1545317765,No,50-64,Female,Ed3,O5,2,NA,inst,,,,,,,,,,,,,,,,,994,,,,,,,,,,,,,,,,,,,,
2af3fb3532da335ec30c6e216c21f489--1545317765,No,50-64,Female,Ed3,O5,2,NA,introTraining,P,,,,,,,,,,,,,,,,1233,,,,,,,,,,,,,,,,,,,,
2af3fb3532da335ec30c6e216c21f489--1545317765,No,50-64,Female,Ed3,O5,2,NA,training,P,,Tetrahedron,False,hotel*,True,Gibbonland*,True,February,False,19,False,2:00,False,AM,False,8014,,,,,,,,,,,,,,,,,,,,
2af3fb3532da335ec30c6e216c21f489--1545317765,No,50-64,Female,Ed3,O5,2,NA,afterScen,,,,,,,,,,,,,,,,,2112,,,,,,,,,,,,,,,,,,,,
2af3fb3532da335ec30c6e216c21f489--1545317765,No,50-64,Female,Ed3,O5,2,NA,introTraining,M,,,,,,,,,,,,,,,,1255,,,,,,,,,,,,,,,,,,,,
2af3fb3532da335ec30c6e216c21f489--1545317765,No,50-64,Female,Ed3,O5,2,NA,training,M,,Tetrahedron*,True,hotel,False,Gibbonland,False,February,False,1*,True,1:00,False,AM*,True,7218,,,,,,,,,,,,,,,,,,,,
2af3fb3532da335ec30c6e216c21f489--1545317765,No,50-64,Female,Ed3,O5,2,NA,afterScen,,,,,,,,,,,,,,,,,1158,,,,,,,,,,,,,,,,,,,,
2af3fb3532da335ec30c6e216c21f489--1545317765,No,50-64,Female,Ed3,O5,2,NA,trust-pre,,,,,,,,,,,,,,,,,10389,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2
2af3fb3532da335ec30c6e216c21f489--1545317765,No,50-64,Female,Ed3,O5,2,NA,introTest,,,,,,,,,,,,,,,,,1194,,,,,,,,,,,,,,,,,,,,
